HS6 ID,Trade Value,Trade Value Relatedness,Trade Value RCA,pci,participacao_brasil,dcr_bloco,dcr,imp_total,exp_brasil,imp_brasil
853951,1679164.0,0.1011110873,0.1044722946,0.4822475289,0.018,1.1336623502819014,0.5626627474073372,1118748316.0,1679164.0,7150620.0
853952,1475041.0,0.0846755318,0.0138314977,0.0538961423,0.005,2.2086888762094334,1.800270867138574,7422928821.0,1475041.0,151801580.00000003
853990,341873.0,0.0934735875,0.0349424664,0.8555928733,0.009,0.5652696824990957,0.2832801667278372,681007132.0,341873.0,2191447.0
854110,8407646.0,0.0817091266,0.0410175462,1.107524024,0.063,0.04343566421195099,0.4551226317134786,14267410419.0,8407646.0,73762687.0
854121,384487.0,0.0784636041,0.004350271,1.1663130744,0.01,0.015990895150972136,0.6063658391688792,6151850388.0,384487.0,42374407.0
854129,1098953.0,0.0800003909,0.0022940704,0.8442362889,0.016,0.015126576017568494,0.23535863224818873,33343622982.0,1098953.0,89146862.0
854130,15125381.0,0.0886411658,0.5427350864,1.2111211851,0.036,0.17939121495429733,1.2763357846301202,1939808410.0,15125381.000000002,28124637.0
854141,977160.0,0.0813507587,0.0043853247,0.7818606186,0.015,0.10899282950044097,0.4347269904934731,15509733793.0,977159.9999999999,76592120.0
854142,35606.0,0.0822410527,0.0003548851,-0.8099980838,0.005,0.03488564958381339,0.45322498399642647,6983544142.0,35606.0,35954468.0
854143,135081.0,0.0918415552,0.0001831105,-0.3641528553,0.0,0.7751045076531129,6.689564489098801,51347757190.0,135081.0,3901956881.0
854149,414970.0,0.0948661577,0.0025365741,0.2771714756,0.011,0.06371479786871413,0.11604148070142241,11387006122.0,414970.0,15010182.0
854151,44647.0,0.0899405375,0.0034707845,0.9865531505,0.003,0.08455385479727567,0.17667557366050096,895375159.0,44647.0,1796986.0
854159,39439.0,0.0886774318,0.0009949996,1.1629601456,0.013,0.034127771701685954,0.05991654135608082,2758947194.0,39439.0,1877817.0
854160,701306.0,0.0866624657,0.0066277158,0.6290170969,0.002,0.012218075661002942,0.9833965004075043,7365192336.0,701306.0,82276515.99999999
854190,261997.0,0.0669297609,0.0024418852,0.9873983481,0.028,0.045656790007997806,0.050742044491353736,7468123370.0,261996.99999999997,4304697.0
854231,39482688.0,0.0797749427,0.005631818,0.6801370035,0.009,0.06824794590128881,0.554537546890955,487976061041.0,39482688.0,3073920393.0
854232,13438311.0,0.0665405021,0.0039547674,1.1593106301,0.007,0.014331969681636861,0.4169636210287645,236517975546.0,13438311.0,1120277106.0
854233,3844759.0,0.0784288428,0.0118895182,0.5169717066,0.027,0.01523759634799707,0.5601485794593486,22508433895.0,3844759.0,143222635.0
854239,14835863.0,0.0770237919,0.0031435584,1.0409298897,0.004,0.028583734955008846,0.2821232636279495,328497217832.0,14835863.0,1052770572.9999999
854290,998087.0,0.0793234019,0.0025450533,0.9957764458,0.013,0.04610655768111889,0.05815596711967856,27296812141.0,998087.0,18033057.0
854320,4708532.0,0.0934599366,0.2287875647,1.2632320641,0.17,0.9128493318014705,1.4907050378051403,1432496350.0,4708532.0,24257631.0
854330,1661069.0,0.08384716,0.0739527544,0.1353528383,0.013,1.2078380667854047,1.2625357127570476,1563413049.0,1661069.0,22422320.0
854340,10813.0,0.0824602588,0.0001456394,0.4939478798,0.0,0.6787247154943303,0.026693116462564143,5167823608.0,10813.0,1567004.0
854370,64083503.0,0.0918004992,0.1002999369,0.9134865549,0.035,0.6368352186139288,0.7861693655265796,44471932006.0,64083503.0,397159775.0
854390,15285449.000000002,0.0829567295,0.1034473512,-0.0635070101,0.06,0.34404016648934366,0.45596555828883817,10284880237.0,15285449.000000002,53271438.0
854411,35191736.0,0.1100611348,0.3556609154,0.0511126995,0.483,0.5615268056235068,0.10939452555458867,6887235958.0,35191736.0,8558619.0
854419,3153107.0,0.1097859863,0.1882765098,-0.5816942385,0.155,1.0197165385221887,1.461574111116603,1165689764.0,3153107.0,19353832.0
854420,16279330.0,0.1044107797,0.175042164,-0.4470719938,0.123,1.1675890996497875,0.5686184963706727,6473427173.0,16279330.0,41813680.0
854430,141800316.0,0.1141726275,0.206853309,-1.1391314671,0.607,0.29507949269055844,0.7857826165080466,47715023186.0,141800316.0,425912806.0
854442,30086944.0,0.098720735,0.0515175659,-0.5532097888,0.042,0.5193942484792694,0.8113667379039569,40650243918.0,30086944.0,374665322.0
854449,192871115.0,0.109319654,0.3433179117,-0.46184745,0.266,1.0918487370194192,0.3347858398103938,39103095831.0,192871115.0,148710408.0
854460,50599514.0,0.1038409211,0.3561575509,0.1042459142,0.135,2.0214813788418713,0.5675257329382294,9888822976.0,50599514.0,63751925.0
854470,47476470.0,0.0979168494,0.2997518031,0.1122806202,0.053,2.7151117633185686,1.4644222301645151,11024452473.0,47476470.0,183394575.0
854511,1370064.0,0.1021220376,0.0272555355,0.5631862919,0.012,1.6269590837550283,2.181897657419249,3498859865.0,1370064.0,86720958.0
854519,77661.0,0.0867084316,0.0019926212,0.2641503056,0.014,0.13019923555565793,1.0483300318725626,2712805423.0,77661.0,32305748.999999996
854520,6337873.0,0.1031010044,0.6836991137,1.058891178,0.26,1.4865414529344354,1.548800622128134,645236503.0,6337873.0,11352136.0
854590,158693.0,0.0864575702,0.0147688201,0.8345084352,0.014,0.27597136085103086,0.8095784881529814,747915239.0,158693.0,6878195.0
854620,10210324.0,0.1003704008,0.9484259541,0.6017751125,0.235,1.3761890030745874,1.6231954188803992,749335843.0,10210324.0,13816895.000000002
854690,8701589.0,0.1043152095,0.3755054508,0.8088829678,0.236,1.1138314370544669,1.2042307969418902,1612956794.0,8701589.0,22064577.0
854710,1935278.0,0.0890266839,0.1989672854,0.9167879084,0.207,0.23185678705351628,0.6545818072848796,677020935.0,1935278.0,5034185.0
854720,6366388.0,0.0984189359,0.0913399486,0.6888652016,0.146,0.37501780411040986,0.6574593614226479,4851463336.0,6366388.0,36233043.0
854790,2489044.0,0.0986710214,0.1307347422,0.3977670299,0.092,0.8868456875560035,0.667844118057128,1325201663.0,2489044.0,10053568.0
854800,4064164.0,0.1058646684,0.0631721708,-1.9530559572,0.209,0.11569132391690304,0.34380500854604257,4478018021.0,4064164.0,17488847.0
854911,19143.0,0.115922771,0.0013223136,-1.7430312878,0.002,0.0008313062139007554,0.0,1007664441.0,19143.0,0.0
854929,16450856.0,0.1350972444,1.6345799544,-1.4411004767,0.0,0.0003445526004841058,0.0006691657810907718,700523559.0,16450856.0,5325.0
860110,0.0,0.0937685734,0.0,1.1707843372,0.0,0.0540752912051687,6.753851052977778e-06,1251286077.0,0.0,96.0
860210,5736116.0,0.1021201774,0.4190549506,0.1792395762,0.139,2.982591044495924,3.0106147484482815,952768440.0,5736116.0,32584097.0
860310,0.0,0.0927092485,0.0,1.0699865514,0.0,0.10380753517022119,9.727880345632224e-06,5067650610.0,0.0,560.0
860390,0.0,0.0884125007,0.0,1.7309479542,0.0,0.0003467171198174742,0.007729839867206561,722030625.0,0.0,63400.0
860400,855379.0,0.092560296,0.05934462,1.1405673501,0.032,1.8487054758464887,5.240833606733885,1003269579.0,855379.0,59728438.0
860500,0.0,0.1053826851,0.0,0.348648528,0.0,0.0009415892917165715,0.004424569873409615,927830123.0,0.0,46633.99999999999
860610,0.0,0.0996612794,0.0,0.5676239448,0.0,0.9945374492659071,0.0,1016305913.0,0.0,0.0
860699,4697.0,0.0998692947,0.0003057775,0.3755464874,0.0,0.39068401291590654,0.0,1069191367.0,4697.0,0.0
860711,102550.0,0.0937894263,0.0090826104,1.6705565655,0.0,0.3165871898301206,0.04107657460042903,785896565.0,102549.99999999999,366710.0
