,ano,cnae_2,Engenheiros,Pesquisadores,Profissionais Científicos,Total Técnicos,Total Contratados,Potec
244,2006,28259.0,25.0,0.0,3.0,28.0,4200,0.006666666666666667
245,2006,28291.0,846.0,3.0,208.0,1057.0,55556,0.019025847793217653
246,2006,28313.0,91.0,0.0,40.0,131.0,4571,0.028658936775322687
247,2006,28321.0,12.0,0.0,1.0,13.0,2733,0.004756677643615075
248,2006,28330.0,351.0,7.0,118.0,476.0,30222,0.015750115809675072
249,2006,28402.0,93.0,2.0,47.0,142.0,16342,0.008689266919593685
250,2006,28518.0,417.0,10.0,139.0,566.0,4994,0.11333600320384461
251,2006,28526.0,27.0,0.0,5.0,32.0,2861,0.01118490038448095
252,2006,28534.0,60.0,3.0,52.0,115.0,6823,0.016854755972446137
253,2006,28542.0,86.0,1.0,16.0,103.0,3057,0.033693163231926726
254,2006,28615.0,147.0,3.0,23.0,173.0,8855,0.01953698475437606
255,2006,28623.0,167.0,0.0,36.0,203.0,12507,0.016230910690013593
256,2006,28631.0,23.0,0.0,6.0,29.0,2948,0.00983717774762551
257,2006,28640.0,4.0,0.0,6.0,10.0,3317,0.0030147723846849564
258,2006,28658.0,204.0,2.0,8.0,214.0,3344,0.06399521531100479
259,2006,28666.0,17.0,0.0,5.0,22.0,1476,0.014905149051490514
260,2006,28691.0,606.0,17.0,111.0,734.0,38514,0.01905800488134185
261,2006,29107.0,3442.0,3.0,285.0,3730.0,72680,0.05132085855806274
262,2006,29204.0,678.0,1.0,139.0,818.0,20112,0.04067223548130469
263,2006,29301.0,237.0,21.0,94.0,352.0,39365,0.008941953512003048
264,2006,29417.0,983.0,54.0,258.0,1295.0,39796,0.03254095889034074
265,2006,29425.0,217.0,18.0,91.0,326.0,13778,0.02366090869502105
266,2006,29433.0,277.0,10.0,49.0,336.0,14156,0.02373551850805312
267,2006,29441.0,242.0,18.0,60.0,320.0,13218,0.024209411408685128
268,2006,29450.0,196.0,1.0,52.0,249.0,24004,0.010373271121479753
269,2006,29492.0,1704.0,53.0,583.0,2340.0,137886,0.016970540881597843
270,2006,29506.0,5.0,0.0,0.0,5.0,7170,0.000697350069735007
271,2006,30113.0,250.0,0.0,15.0,265.0,21088,0.01256638846737481
272,2006,30121.0,9.0,0.0,2.0,11.0,1988,0.005533199195171026
273,2006,30318.0,97.0,0.0,11.0,108.0,2168,0.04981549815498155
274,2006,30326.0,19.0,1.0,5.0,25.0,1395,0.017921146953405017
275,2006,30415.0,3083.0,0.0,261.0,3344.0,16923,0.19760089818590085
276,2006,30423.0,11.0,0.0,5.0,16.0,704,0.022727272727272728
277,2006,30911.0,160.0,1.0,82.0,243.0,11730,0.02071611253196931
278,2006,30920.0,11.0,0.0,7.0,18.0,4835,0.003722854188210962
279,2006,30997.0,111.0,0.0,11.0,122.0,6245,0.01953562850280224
280,2006,31012.0,127.0,0.0,78.0,205.0,160117,0.0012803137705552814
281,2006,31021.0,42.0,4.0,27.0,73.0,22978,0.0031769518670032204
282,2006,31039.0,25.0,1.0,13.0,39.0,12244,0.003185233583796145
283,2006,31047.0,13.0,0.0,43.0,56.0,18950,0.0029551451187335093
284,2006,32116.0,4.0,0.0,29.0,33.0,11644,0.0028340776365510132
285,2006,32124.0,2.0,0.0,1.0,3.0,2977,0.001007725898555593
286,2006,32205.0,6.0,0.0,1.0,7.0,2178,0.0032139577594123047
287,2006,32302.0,2.0,0.0,2.0,4.0,2750,0.0014545454545454545
288,2006,32400.0,7.0,0.0,15.0,22.0,10486,0.002098035475872592
289,2006,32507.0,257.0,19.0,212.0,488.0,36983,0.013195251872481951
290,2006,32914.0,9.0,5.0,11.0,25.0,7101,0.0035206308970567525
291,2006,32922.0,9.0,0.0,10.0,19.0,9697,0.0019593688769722595
292,2006,32990.0,47.0,1.0,56.0,104.0,21238,0.004896882945663434
293,2006,33112.0,4.0,0.0,0.0,4.0,1918,0.0020855057351407717
294,2006,33121.0,86.0,1.0,34.0,121.0,4998,0.02420968387354942
295,2006,33139.0,268.0,0.0,51.0,319.0,6862,0.04648790440104926
296,2006,33147.0,382.0,2.0,116.0,500.0,43092,0.011603081778520374
297,2006,33155.0,37.0,0.0,0.0,37.0,2973,0.012445341405987218
298,2006,33163.0,182.0,0.0,37.0,219.0,7282,0.030074155451798958
299,2006,33171.0,13.0,0.0,1.0,14.0,2062,0.006789524733268671
300,2006,33198.0,6.0,0.0,6.0,12.0,2764,0.004341534008683068
301,2006,33210.0,147.0,0.0,29.0,176.0,8301,0.021202264787375014
302,2006,33295.0,19.0,0.0,28.0,47.0,7549,0.006225990197377136
303,2006,35115.0,4066.0,18.0,604.0,4688.0,31624,0.14824184163926132
304,2006,35123.0,975.0,1.0,79.0,1055.0,10003,0.10546835949215236
305,2006,35131.0,29.0,1.0,3.0,33.0,600,0.055
306,2006,35140.0,2845.0,20.0,725.0,3590.0,64438,0.05571246779850399
307,2006,35204.0,198.0,2.0,52.0,252.0,2155,0.11693735498839908
308,2006,35301.0,2.0,0.0,0.0,2.0,162,0.012345679012345678
309,2006,36006.0,3887.0,3.0,1146.0,5036.0,116155,0.0433558607033705
310,2006,37011.0,8.0,0.0,1.0,9.0,516,0.01744186046511628
311,2006,37029.0,216.0,2.0,100.0,318.0,36731,0.008657537230132585
312,2006,38114.0,363.0,2.0,69.0,434.0,60088,0.007222739981360671
313,2006,38122.0,6.0,0.0,2.0,8.0,705,0.011347517730496455
314,2006,38211.0,96.0,2.0,34.0,132.0,19443,0.006789075759913593
315,2006,38220.0,4.0,0.0,1.0,5.0,817,0.006119951040391677
316,2006,38319.0,25.0,0.0,6.0,31.0,6221,0.004983121684616621
317,2006,38327.0,2.0,0.0,2.0,4.0,5717,0.0006996676578625153
318,2006,38394.0,27.0,1.0,5.0,33.0,10250,0.003219512195121951
319,2006,39005.0,11.0,0.0,5.0,16.0,1540,0.01038961038961039
320,2006,41107.0,891.0,0.0,98.0,989.0,45267,0.021848145448118937
321,2006,41204.0,10149.0,32.0,305.0,10486.0,585143,0.017920405781150932
322,2006,42111.0,3260.0,1.0,147.0,3408.0,112991,0.030161694294235823
323,2006,42120.0,1407.0,0.0,114.0,1521.0,39615,0.038394547519878836
324,2006,42138.0,528.0,1.0,23.0,552.0,25238,0.02187178064822886
325,2006,42219.0,820.0,10.0,318.0,1148.0,105728,0.010858050847457628
326,2006,42227.0,323.0,0.0,15.0,338.0,15714,0.02150948199058165
327,2006,42235.0,68.0,0.0,2.0,70.0,4568,0.01532399299474606
328,2006,42910.0,42.0,1.0,1.0,44.0,3342,0.013165769000598444
329,2006,42928.0,792.0,2.0,70.0,864.0,65755,0.013139685195042203
330,2006,42995.0,2409.0,6.0,102.0,2517.0,141562,0.01778019525013775
331,2006,43118.0,47.0,0.0,1.0,48.0,6034,0.007954922108054359
332,2006,43126.0,45.0,1.0,27.0,73.0,5094,0.014330585001963094
333,2006,43134.0,448.0,0.0,10.0,458.0,35016,0.013079734978295636
334,2006,43193.0,16.0,0.0,0.0,16.0,1258,0.012718600953895072
335,2006,43215.0,587.0,4.0,55.0,646.0,45255,0.014274665782786432
336,2006,43223.0,335.0,0.0,15.0,350.0,23005,0.015214083894805478
